SED_IB,Length_ft,BoardFeet
5,8,5.0
6,8,10.0
7,8,15.0
8,8,20.0
9,8,25.0
10,8,30.0
11,8,35.0
12,8,35.0
13,8,35.0
14,8,45.0
15,8,55.0
16,8,65.0
17,8,75.0
18,8,85.0
19,8,95.0
20,8,110.0
21,8,125.0
22,8,135.0
23,8,155.0
24,8,170.0
25,8,185.0
26,8,205.0
27,8,220.0
28,8,240.0
29,8,260.0
30,8,280.0
5,10,5.0
6,10,15.0
7,10,20.0
8,10,30.0
9,10,40.0
10,10,45.0
11,10,55.0
12,10,55.0
13,10,70.0
14,10,80.0
15,10,95.0
16,10,110.0
17,10,125.0
18,10,140.0
19,10,155.0
20,10,170.0
21,10,190.0
22,10,210.0
23,10,235.0
24,10,255.0
25,10,280.0
26,10,305.0
27,10,330.0
28,10,360.0
29,10,385.0
30,10,410.0
5,12,10.0
6,12,15.0
7,12,25.0
8,12,35.0
9,12,45.0
10,12,55.0
11,12,55.0
12,12,70.0
13,12,85.0
14,12,100.0
15,12,115.0
16,12,130.0
17,12,150.0
18,12,170.0
19,12,190.0
20,12,210.0
21,12,235.0
22,12,260.0
23,12,285.0
24,12,310.0
25,12,340.0
26,12,370.0
27,12,400.0
28,12,430.0
29,12,465.0
30,12,495.0
5,14,10.0
6,14,20.0
7,14,30.0
8,14,45.0
9,14,55.0
10,14,70.0
11,14,70.0
12,14,85.0
13,14,100.0
14,14,115.0
15,14,135.0
16,14,150.0
17,14,160.0
18,14,180.0
19,14,200.0
20,14,225.0
21,14,250.0
22,14,280.0
23,14,305.0
24,14,335.0
25,14,370.0
26,14,400.0
27,14,435.0
28,14,470.0
29,14,510.0
30,14,545.0
4,16,10.0
5,16,20.0
6,16,20.0
7,16,30.0
8,16,30.0
9,16,40.0
10,16,60.0
11,16,70.0
12,16,80.0
13,16,100.0
14,16,110.0
15,16,140.0
16,16,160.0
17,16,180.0
18,16,210.0
19,16,240.0
20,16,280.0
21,16,300.0
22,16,330.0
23,16,380.0
24,16,400.0
25,16,460.0
26,16,500.0
27,16,550.0
28,16,580.0
29,16,610.0
30,16,660.0
31,16,710.0
32,16,740.0
33,16,780.0
34,16,800.0
35,16,880.0
36,16,920.0
37,16,1030.0
38,16,1070.0
39,16,1120.0
40,16,1200.0
41,16,1270.0
42,16,1340.0
43,16,1400.0
44,16,1480.0
45,16,1520.0
46,16,1590.0
47,16,1660.0
48,16,1730.0
49,16,1800.0
50,16,1870.0
51,16,1950.0
52,16,2020.0
53,16,2100.0
54,16,2180.0
55,16,2270.0
56,16,2350.0
57,16,2440.0
58,16,2520.0
59,16,2610.0
60,16,2700.0
61,16,2770.0
62,16,2860.0
63,16,2940.0
64,16,3020.0
65,16,3100.0
66,16,3190.0
67,16,3270.0
68,16,3350.0
69,16,3440.0
70,16,3520.0
4,17,10.0
5,17,20.0
6,17,20.0
7,17,30.0
8,17,30.0
9,17,40.0
10,17,60.0
11,17,70.0
12,17,80.0
13,17,100.0
14,17,120.0
15,17,150.0
16,17,170.0
17,17,200.0
18,17,230.0
19,17,250.0
20,17,300.0
21,17,320.0
22,17,350.0
23,17,400.0
24,17,430.0
25,17,490.0
26,17,530.0
27,17,580.0
28,17,620.0
29,17,650.0
30,17,700.0
31,17,750.0
32,17,780.0
33,17,830.0
34,17,850.0
35,17,930.0
36,17,980.0
37,17,1090.0
38,17,1130.0
39,17,1190.0
40,17,1280.0
41,17,1350.0
42,17,1430.0
43,17,1480.0
